Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Prep_1E3G_39040_uff_E=671.04,-7.3,0,0
Prep_1E3G_100334_uff_E=651.31,-7.5,0,0
Prep_1E3G_15951529_uff_E=873.89,-1.4,0,0
Prep_1E3G_3639_uff_E=948.06,-7.4,0,0
Prep_1E3G_8708_uff_E=457.17,-5.8,0,0
Prep_1E3G_10195250_uff_E=596.22,-6.4,0,0
Prep_1E3G_65998_uff_E=514.78,-7.6,0,0
Prep_1E3G_91716_uff_E=491.71,-7.5,0,0
Prep_1E3G_697993_uff_E=312.52,-5.9,0,0
Prep_1E3G_16954_uff_E=574.98,-7.3,0,0
Prep_1E3G_24889392_uff_E=1189.44,7.1,0,0
Prep_1E3G_11618368_uff_E=782.09,-7.3,0,0
Prep_1E3G_261000_uff_E=551.90,-10.6,0,0
Prep_1E3G_16954_uff_E=574.98,-6.7,1.381,1.123
Prep_1E3G_8708_uff_E=457.17,-5.1,2.084,1.192
Prep_1E3G_8708_uff_E=457.17,-4.4,1.379,1.202
Prep_1E3G_16954_uff_E=574.98,-6.8,2.079,1.3
Prep_1E3G_261000_uff_E=551.90,-8.6,2.843,1.327
Prep_1E3G_697993_uff_E=312.52,-5.6,2.169,1.463
Prep_1E3G_8708_uff_E=457.17,-5.2,2.154,1.465
Prep_1E3G_39040_uff_E=671.04,-6.9,2.853,1.526
Prep_1E3G_11618368_uff_E=782.09,-5.2,2.096,1.569
Prep_1E3G_15951529_uff_E=873.89,-0.7,2.183,1.664
Prep_1E3G_16954_uff_E=574.98,-6.3,2.593,1.68
Prep_1E3G_16954_uff_E=574.98,-6.4,7.693,1.737
Prep_1E3G_16954_uff_E=574.98,-7,7.689,1.739
Prep_1E3G_15951529_uff_E=873.89,-0.6,2.262,1.773
Prep_1E3G_39040_uff_E=671.04,-6.8,2.96,1.8
Prep_1E3G_16954_uff_E=574.98,-6.1,7.798,1.839
Prep_1E3G_16954_uff_E=574.98,-6.9,7.913,1.885
Prep_1E3G_39040_uff_E=671.04,-6.8,3.956,1.974
Prep_1E3G_697993_uff_E=312.52,-5.4,4.291,2.069
Prep_1E3G_39040_uff_E=671.04,-7.1,3.958,2.163
Prep_1E3G_91716_uff_E=491.71,-6.1,8.157,2.184
Prep_1E3G_39040_uff_E=671.04,-6.6,4.382,2.194
Prep_1E3G_91716_uff_E=491.71,-6.6,2.989,2.195
Prep_1E3G_39040_uff_E=671.04,-6.6,3.385,2.206
Prep_1E3G_91716_uff_E=491.71,-6.3,3.19,2.209
Prep_1E3G_10195250_uff_E=596.22,-5.4,8.222,2.232
Prep_1E3G_24889392_uff_E=1189.44,7.9,14.796,2.282
Prep_1E3G_39040_uff_E=671.04,-6.7,3.808,2.29
Prep_1E3G_15951529_uff_E=873.89,0.3,9.456,2.314
Prep_1E3G_91716_uff_E=491.71,-5.7,3.125,2.337
Prep_1E3G_100334_uff_E=651.31,-6.1,3.085,2.349
Prep_1E3G_3639_uff_E=948.06,-6.6,5.305,2.386
Prep_1E3G_39040_uff_E=671.04,-7.1,4.734,2.414
Prep_1E3G_24889392_uff_E=1189.44,7.5,14.586,2.435
Prep_1E3G_91716_uff_E=491.71,-5.5,7.405,2.453
Prep_1E3G_100334_uff_E=651.31,-6.7,3.525,2.522
Prep_1E3G_91716_uff_E=491.71,-5.8,8.124,2.535
Prep_1E3G_24889392_uff_E=1189.44,9.9,14.707,2.541
Prep_1E3G_697993_uff_E=312.52,-5.5,4.099,2.571
Prep_1E3G_3639_uff_E=948.06,-6.2,3.237,2.614
Prep_1E3G_697993_uff_E=312.52,-5.3,4.402,2.676
Prep_1E3G_24889392_uff_E=1189.44,9.3,14.581,2.691
Prep_1E3G_3639_uff_E=948.06,-6.4,3.191,2.695
Prep_1E3G_697993_uff_E=312.52,-5,4.838,2.721
Prep_1E3G_697993_uff_E=312.52,-5.1,5.151,2.736
Prep_1E3G_15951529_uff_E=873.89,1.4,9.563,2.881
Prep_1E3G_15951529_uff_E=873.89,-0.9,8.87,2.881
Prep_1E3G_91716_uff_E=491.71,-5.9,8,3.215
Prep_1E3G_65998_uff_E=514.78,-7.1,4.616,3.288
Prep_1E3G_65998_uff_E=514.78,-6.7,6.532,3.315
Prep_1E3G_100334_uff_E=651.31,-5.1,8.816,3.376
Prep_1E3G_100334_uff_E=651.31,-6.5,9.126,3.388
Prep_1E3G_65998_uff_E=514.78,-6.8,6.73,3.517
Prep_1E3G_10195250_uff_E=596.22,-4.6,9.585,6.466
Prep_1E3G_697993_uff_E=312.52,-5.4,11.198,10.351
Prep_1E3G_697993_uff_E=312.52,-5.5,10.963,10.405
Prep_1E3G_3639_uff_E=948.06,-6.2,12.599,11.246
Prep_1E3G_8708_uff_E=457.17,-5.1,14.012,11.503
Prep_1E3G_8708_uff_E=457.17,-5.6,15.266,11.582
Prep_1E3G_8708_uff_E=457.17,-5.4,15.26,11.613
Prep_1E3G_3639_uff_E=948.06,-5.1,13.45,11.946
Prep_1E3G_8708_uff_E=457.17,-4.2,15.58,12.081
Prep_1E3G_8708_uff_E=457.17,-4.8,15.528,12.081
Prep_1E3G_3639_uff_E=948.06,-5.4,14.471,12.081
Prep_1E3G_3639_uff_E=948.06,-5.2,14.361,12.34
Prep_1E3G_91716_uff_E=491.71,-6.4,16.572,12.722
Prep_1E3G_3639_uff_E=948.06,-4.6,15.12,13.174
